ITEM CODE,"ITEM NAME 
(BRAND/MODEL)","ASSET NAME
(ASSET DESCRIPTION)"
Cooling Tower Make-up Tank,"Grundfos / CR 15-4 A-F-A-E-HQQE",Newater Tank 1
Cooling Tower Make-up Water Pump,"Grundfos / CR 15-4 A-F-A-E-HQQE",MWP-01
Cooling Tower Make-up Water Pump,"Kurita",MWP-02
"Water Treatment System - 
Chemical Dosing Equipment","Daikin / DM2TB-1315B",Chemical Dosing System
Domestic Water Tank - Ground,"Daikin / DM2TB-0710B"," "
Domestic Water Tank - Roof Top,"Daikin / DXE2634-B5(PA)"," "
Domestic Water Booster Pumps 1,"Daikin / DXE2630-B5(PA)"," "
Domestic Water Booster Pumps 2,"Daikin / DXE2630-B5(PA)"," "
Domestic Water Booster Pumps 3,"Daikin / DXE2630-B5(PA)"," "
Pre-AHU - 1 (PAHU-RF-01),"Daikin / DXE2434-B5(PA)",PAHU-RF-01
Pre-AHU - 2 (PAHU-ASRS-L5-01),"Daikin / DM2TB-2539B",PAHU-ASRS-L5-01
AHU - ASRS (AHU-L5-ASRS-1),"Daikin / DM2TB-2127B",AHU-L5-ASRS-1
AHU - ASRS (AHU-L5-ASRS-2),"Daikin / DM2TB-2127B",AHU-L5-ASRS-2
AHU - ASRS (AHU-L5-ASRS-3),"Daikin / DM2TB-1822B",AHU-L5-ASRS-3
AHU - ASRS (AHU-L5-ASRS-4),"Daikin / FUW060F-6L",AHU-L5-ASRS-4
AHU - ASRS (AHU-L5-ASRS-5),"Daikin / FUW020F-4L",AHU-L5-ASRS-5
AHU (AHU-L1-01),"Daikin / FUW060F-4L",AHU-L1-01
AHU (AHU-L3-01),"Daikin / FUW060F-4L",AHU-L3-01
AHU (AHU-L4-01),"Daikin / FUW060F-4L",AHU-L4-01
AHU (AHU-L5-01),"Daikin / FWW14DAS",AHU-L5-01
"Water-Cooled FCU 
(FCU-CANTEEN-L1-01)","Daikin / FWW02DAS",FCU-CANTEEN-L1-01
"Water-Cooled FCU 
(FCU-CHANGING-L1-02)","Daikin / FWW02DAS",FCU-CHANGING-L1-02
"Water-Cooled FCU 
(FCU-Office-L2-01)","Daikin / FUW020F-4L",FCU-Office-L2-01
"Water-Cooled FCU 
(FCU-Office-L2-02)","Daikin / FUW020F-4L",FCU-Office-L2-02
"Water-Cooled FCU 
(FCU-Office-L2-03)","Daikin / FUW040F-6L",FCU-Office-L2-03
